created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:59:59 +0000 2023;1718779744769188021;"@ARMYTEAMIID ITS HUMANITARIAN DUTY!!!!  #StopGenocidelnGaza  #CeaseFirelnGaza #CeasefireNOW  #FreePalestine  FREE PALESTINE !!";0;0;0;0;en;2486898536;1718778775926960598;Smuffin17;https://twitter.com/Smuffin17/status/1718779744769188021
Sun Oct 29 23:59:58 +0000 2023;1718779742009098344;"@entraptascoven https://t.co/LxOiOIS6FX";1;3;0;1;qme;1683518778125201408;1718779303041880437;ashyysscoven;https://twitter.com/ashyysscoven/status/1718779742009098344
Sun Oct 29 23:59:58 +0000 2023;1718779740775989431;"@stevecummins78 @LoveReigate @Morrisons Palestine and Israel have been fighting most of my life.  I don't believe anything I say or do will change that. If you have any practical ideas that have worked for you in solving the situation out there that have had an impact then please share.";0;0;0;0;en;723117262505414656;1718649047316152497;jennydorey1;https://twitter.com/jennydorey1/status/1718779740775989431
Sun Oct 29 23:59:56 +0000 2023;1718779735432384856;"@BLOODYMOTHS I FUCKED UP THE COPYPASTE THING IM ASKING FOR THE QUESTIOKNS";0;1;0;0;en;1707586877719543808;1718779299250016480;26thof11;https://twitter.com/26thof11/status/1718779735432384856
Sun Oct 29 23:59:56 +0000 2023;1718779734400618554;"It's a tragedy on 'both...' sides, but Israel's Government's attitude to the people of Palestine, and the oppression of the people is the 'root cause' cause of this conflict.            @OriginalLoz";0;1;0;0;en;343956175;1718779734400618554;SebWrites;https://twitter.com/SebWrites/status/1718779734400618554
Sun Oct 29 23:59:56 +0000 2023;1718779734287364525;"France million of people protest 🇫🇷 Free Palestine 🇵🇸❤️   @ThePowerOfPTI1  #FreePalestine #Gaza_Genocide #ElonMusk #Gazabombing #غزة_الآن #غزة_تنتصر #الإجتياح_البري  #Gaza #Palestine #GazaCity #GazaWar https://t.co/Tt6jM9VuV9";0;0;1;3;en;708279856929378306;1718779734287364525;waseemkhan95523;https://twitter.com/waseemkhan95523/status/1718779734287364525
Sun Oct 29 23:59:56 +0000 2023;1718779734090211479;"@syzskyyy @hrlyEya Musulmans affectivement liés à la Palestine vivant désormais sur le territoire occidental. Ce n’est pas le cas pour les coréens. Comprendre cela n’est pas difficile, à moins d’être le dernier des imbeciles alors fais un effort.";0;0;0;0;fr;1694294350820147201;1718057001098359054;skz_hf_8;https://twitter.com/skz_hf_8/status/1718779734090211479
Sun Oct 29 23:59:56 +0000 2023;1718779732798398781;"@NhaHLST @5sosstrugglesfr";0;0;0;0;qam;1603544996526825472;1718773725145768423;Elisesatillite;https://twitter.com/Elisesatillite/status/1718779732798398781
Sun Oct 29 23:59:55 +0000 2023;1718779728956711385;"Buat kalian yg diem-diem aja, ga mau pake suara kalian buat dukung palestine, tidur nyenyak ye kalean";0;0;0;0;in;1064315227750055936;1718779246058033558;chilook_boo;https://twitter.com/chilook_boo/status/1718779728956711385
Sun Oct 29 23:59:55 +0000 2023;1718779728767635485;"god literally how can this keep happening for so long please free palestine i don't even have words";0;0;0;13;en;1690743057094721536;1718779728767635485;gojoktsu;https://twitter.com/gojoktsu/status/1718779728767635485
