created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:59:56 +0000 2023;1718779732345618861;"Hay teman pemilih kenali sosok calon presiden dan wakil presiden, visi dan misi nya serta bijaklah dalam menentukan pilihan. Salam demokrasi. https://t.co/X3znjmH7Ls";0;0;0;1;in;1630878150245908482;1718779732345618861;PpkSerbaJadi;https://twitter.com/PpkSerbaJadi/status/1718779732345618861
Sun Oct 29 23:59:47 +0000 2023;1718779694466891873;"@kpankcb love u";0;0;0;0;en;1408656168910659584;1718612979422511392;chlxownss;https://twitter.com/chlxownss/status/1718779694466891873
Sun Oct 29 23:59:38 +0000 2023;1718779658991472898;"@Nikmatul_Sg Nah Ini baru presiden RI memajukan bangsa kita  Amin. #GanjarMahfudTaatKonstitusi https://t.co/2eZuGkYIGH";0;0;0;0;in;808950511760130048;1718547441300238576;moonjungsoon57;https://twitter.com/moonjungsoon57/status/1718779658991472898
Sun Oct 29 23:59:37 +0000 2023;1718779654402928846;"@infomaya_id @yunartowijaya Modelan bocah begitu masih aja di elu elukan, sebagai anak muda, dia bukan anak muda, dia anak presiden!!! Mencla mencle!!! Penghianat!!!";0;0;0;1;in;98415488;1718139061897216478;hampirsajalupa;https://twitter.com/hampirsajalupa/status/1718779654402928846
Sun Oct 29 23:59:36 +0000 2023;1718779650552512753;"@VIVAcoid Kenapa gak biran jadi calon presiden kok aki aki yg dipilih";0;0;0;0;in;1702517102173880320;1718773359943802997;abuhalimah52541;https://twitter.com/abuhalimah52541/status/1718779650552512753
Sun Oct 29 23:59:36 +0000 2023;1718779650103734696;"@gemiselalubenar jodoh";0;0;0;0;in;1408656168910659584;1718608323950571859;chlxownss;https://twitter.com/chlxownss/status/1718779650103734696
Sun Oct 29 23:59:33 +0000 2023;1718779637139206271;"Yenny Wahid Sapa Ganjar Pranowo: Mas Ganjar Presiden Kita! https://t.co/jmvH2aJ6Tm";0;0;0;0;in;584835300;1718779637139206271;GesuriID;https://twitter.com/GesuriID/status/1718779637139206271
Sun Oct 29 23:59:32 +0000 2023;1718779632567366073;"@hidrokarbn xixixi";0;0;0;0;in;1408656168910659584;1718610153661190264;chlxownss;https://twitter.com/chlxownss/status/1718779632567366073
Sun Oct 29 23:59:30 +0000 2023;1718779626326253896;"Truk tanah mah kebal sama peraturan jam operasional.... 😌";0;0;0;0;in;260575817;1718779626326253896;KicauSunyi;https://twitter.com/KicauSunyi/status/1718779626326253896
Sun Oct 29 23:59:25 +0000 2023;1718779605468025181;"@Pe78z9 hay";0;0;0;0;und;1408656168910659584;1718610153661190264;chlxownss;https://twitter.com/chlxownss/status/1718779605468025181
